Path,Library,Start_line,End_line,Unchecked Func,Checked Func,Safety Conditions,Safety Condition Category,User visible,Flag,Safe_start_line,Safe_end_line,Counterpart status,Checked-side note,Normalized Family,Normalization Rationale
rust/library/core/src/result.rs,Option/Result,1650,1660,"    pub const unsafe fn unwrap_unchecked(self) -> T {
        match self {
            Ok(t) => t,
            Err(e) => {
                // FIXME(const-hack): to avoid E: const Destruct bound
                super::mem::forget(e);
                // SAFETY: the safety contract must be upheld by the caller.
                unsafe { hint::unreachable_unchecked() }
            }
        }
    }","    pub fn unwrap(self) -> T
    where
        E: fmt::Debug,
    {
        match self {
            Ok(t) => t,
            Err(e) => unwrap_failed(""called `Result::unwrap()` on an `Err` value"", &e),
        }
    }",枚举类型必须得是安全的,Result/Option,Not recorded.,Not recorded.,1227,1235,confirmed_pair,unwrap及其一系列,Variant_Type_Tag,"These APIs require a matching enum variant (`Some`, `Ok`, `Err`, etc.)."
rust/library/core/src/result.rs,Option/Result,1685,1691,"    pub unsafe fn unwrap_err_unchecked(self) -> E {
        match self {
            // SAFETY: the safety contract must be upheld by the caller.
            Ok(_) => unsafe { hint::unreachable_unchecked() },
            Err(e) => e,
        }
    }","    pub fn unwrap_err(self) -> E
    where
        T: fmt::Debug,
    {
        match self {
            Ok(t) => unwrap_failed(""called `Result::unwrap_err()` on an `Ok` value"", &t),
            Err(e) => e,
        }
    }",枚举类型必须得是安全的,Result/Option,Not recorded.,Not recorded.,1324,1332,confirmed_pair,unwrap及其一系列,Variant_Type_Tag,"These APIs require a matching enum variant (`Some`, `Ok`, `Err`, etc.)."
rust/library/core/src/option.rs,Option/Result,1128,1134,"    pub const unsafe fn unwrap_unchecked(self) -> T {
        match self {
            Some(val) => val,
            // SAFETY: the safety contract must be upheld by the caller.
            None => unsafe { hint::unreachable_unchecked() },
        }
    }","    pub const fn unwrap(self) -> T {
        match self {
            Some(val) => val,
            None => unwrap_failed(),
        }
    }",Option类型为Some而不是None,Reuslt/Option,Not recorded.,Not recorded.,1013,1018,confirmed_pair,Not recorded.,Variant_Type_Tag,"These APIs require a matching enum variant (`Some`, `Ok`, `Err`, etc.)."
rust/library/core/src/any.rs,any,324,328,"pub unsafe fn downcast_mut_unchecked<T: Any>(&mut self) -> &mut T {
        debug_assert!(self.is::<T>());
        // SAFETY: caller guarantees that T is the correct type
        unsafe { &mut *(self as *mut dyn Any as *mut T) }
    }","    pub fn downcast_mut<T: Any>(&mut self) -> Option<&mut T> {
        if self.is::<T>() {
            // SAFETY: just checked whether we are pointing to the correct type, and we can rely on
            // that check for memory safety because we have implemented Any for all types; no other
            // impls can exist as they would conflict with our impl.
            unsafe { Some(self.downcast_unchecked_mut()) }
        } else {
            None
        }
    }",必须包含类型T,type,Not recorded.,Not recorded.,264,273,confirmed_pair,Not recorded.,Variant_Type_Tag,These APIs depend on dynamic type/tag agreement (e.g. downcast-style checks).
rust/library/core/src/any.rs,any,459,462,"pub unsafe fn downcast_mut_unchecked<T: Any>(&mut self) -> &mut T {
        // SAFETY: guaranteed by caller
        unsafe { <dyn Any>::downcast_mut_unchecked::<T>(self) }
    }","    pub fn downcast_mut<T: Any>(&mut self) -> Option<&mut T> {
        if self.is::<T>() {
            // SAFETY: just checked whether we are pointing to the correct type, and we can rely on
            // that check for memory safety because we have implemented Any for all types; no other
            // impls can exist as they would conflict with our impl.
            unsafe { Some(self.downcast_unchecked_mut()) }
        } else {
            None
        }
    }",Not recorded.,type,Not recorded.,Not recorded.,264,273,confirmed_pair,Not recorded.,Variant_Type_Tag,These APIs depend on dynamic type/tag agreement (e.g. downcast-style checks).
rust/library/core/src/any.rs,any,591,594,"pub unsafe fn downcast_mut_unchecked<T: Any>(&mut self) -> &mut T {
        // SAFETY: guaranteed by caller
        unsafe { <dyn Any>::downcast_mut_unchecked::<T>(self) }
    }","    pub fn downcast_mut<T: Any>(&mut self) -> Option<&mut T> {
        if self.is::<T>() {
            // SAFETY: just checked whether we are pointing to the correct type, and we can rely on
            // that check for memory safety because we have implemented Any for all types; no other
            // impls can exist as they would conflict with our impl.
            unsafe { Some(self.downcast_unchecked_mut()) }
        } else {
            None
        }
    }",Not recorded.,type,Not recorded.,Not recorded.,264,273,confirmed_pair,Not recorded.,Variant_Type_Tag,These APIs depend on dynamic type/tag agreement (e.g. downcast-style checks).
rust/library/core/src/any.rs,any,294,298,"pub unsafe fn downcast_ref_unchecked<T: Any>(&self) -> &T {
        debug_assert!(self.is::<T>());
        // SAFETY: caller guarantees that T is the correct type
        unsafe { &*(self as *const dyn Any as *const T) }
    }","    pub fn downcast_ref<T: Any>(&self) -> Option<&T> {
        if self.is::<T>() {
            // SAFETY: just checked whether we are pointing to the correct type, and we can rely on
            // that check for memory safety because we have implemented Any for all types; no other
            // impls can exist as they would conflict with our impl.
            unsafe { Some(self.downcast_unchecked_ref()) }
        } else {
            None
        }
    }",必须包含类型T,type,Not recorded.,Not recorded.,228,237,confirmed_pair,Not recorded.,Variant_Type_Tag,These APIs depend on dynamic type/tag agreement (e.g. downcast-style checks).
rust/library/core/src/any.rs,any,563,566,"pub unsafe fn downcast_ref_unchecked<T: Any>(&self) -> &T {
        // SAFETY: guaranteed by caller
        unsafe { <dyn Any>::downcast_ref_unchecked::<T>(self) }
    }","    pub fn downcast_ref<T: Any>(&self) -> Option<&T> {
        if self.is::<T>() {
            // SAFETY: just checked whether we are pointing to the correct type, and we can rely on
            // that check for memory safety because we have implemented Any for all types; no other
            // impls can exist as they would conflict with our impl.
            unsafe { Some(self.downcast_unchecked_ref()) }
        } else {
            None
        }
    }",Not recorded.,type,Not recorded.,Not recorded.,228,237,confirmed_pair,Not recorded.,Variant_Type_Tag,These APIs depend on dynamic type/tag agreement (e.g. downcast-style checks).
rust/library/core/src/any.rs,any+send,430,433,"pub unsafe fn downcast_ref_unchecked<T: Any>(&self) -> &T {
        // SAFETY: guaranteed by caller
        unsafe { <dyn Any>::downcast_ref_unchecked::<T>(self) }
    }","    pub fn downcast_ref<T: Any>(&self) -> Option<&T> {
        if self.is::<T>() {
            // SAFETY: just checked whether we are pointing to the correct type, and we can rely on
            // that check for memory safety because we have implemented Any for all types; no other
            // impls can exist as they would conflict with our impl.
            unsafe { Some(self.downcast_unchecked_ref()) }
        } else {
            None
        }
    }",Not recorded.,type,Not recorded.,Not recorded.,228,237,confirmed_pair,同上,Variant_Type_Tag,These APIs depend on dynamic type/tag agreement (e.g. downcast-style checks).
rust/library/alloc/src/sync.rs,Arc/sync,2919,2927,"    pub unsafe fn downcast_unchecked<T>(self) -> Arc<T, A>
    where
        T: Any + Send + Sync,
    {
        unsafe {
            let (ptr, alloc) = Arc::into_inner_with_allocator(self);
            Arc::from_inner_in(ptr.cast(), alloc)
        }
    }","    pub fn downcast<T>(self) -> Result<Arc<T, A>, Self>
    where
        T: Any + Send + Sync,
    {
        if (*self).is::<T>() {
            unsafe {
                let (ptr, alloc) = Arc::into_inner_with_allocator(self);
                Ok(Arc::from_inner_in(ptr.cast(), alloc))
            }
        } else {
            Err(self)
        }
    }","包含类型必须得是type T,否则会导致未定义行为",type,Not recorded.,Not recorded.,2877,2889,confirmed_pair,Not recorded.,Variant_Type_Tag,These APIs depend on dynamic type/tag agreement (e.g. downcast-style checks).
rust/library/alloc/src/boxed/convert.rs,Box,363,369,"    pub unsafe fn downcast_unchecked<T: Any>(self) -> Box<T, A> {
        debug_assert!(self.is::<T>());
        unsafe {
            let (raw, alloc): (*mut dyn Any, _) = Box::into_raw_with_allocator(self);
            Box::from_raw_in(raw as *mut T, alloc)
        }
    }","    pub fn downcast<T: Any>(self) -> Result<Box<T, A>, Self> {
        if self.is::<T>() { unsafe { Ok(self.downcast_unchecked::<T>()) } } else { Err(self) }
    }",必须得是类型T,type,Not recorded.,Not recorded.,333,335,confirmed_pair,Not recorded.,Variant_Type_Tag,These APIs depend on dynamic type/tag agreement (e.g. downcast-style checks).
rust/library/alloc/src/boxed/convert.rs,Box+Send,363,369,"    pub unsafe fn downcast_unchecked<T: Any>(self) -> Box<T, A> {
        debug_assert!(self.is::<T>());
        unsafe {
            let (raw, alloc): (*mut dyn Any, _) = Box::into_raw_with_allocator(self);
            Box::from_raw_in(raw as *mut T, alloc)
        }
    }","    pub fn downcast<T: Any>(self) -> Result<Box<T, A>, Self> {
        if self.is::<T>() { unsafe { Ok(self.downcast_unchecked::<T>()) } } else { Err(self) }
    }",必须得是类型T,type,Not recorded.,Not recorded.,333,335,confirmed_pair,"同上, 区别在于send",Variant_Type_Tag,These APIs depend on dynamic type/tag agreement (e.g. downcast-style checks).
rust/library/alloc/src/boxed/convert.rs,Box+send+Sync,363,369,"    pub unsafe fn downcast_unchecked<T: Any>(self) -> Box<T, A> {
        debug_assert!(self.is::<T>());
        unsafe {
            let (raw, alloc): (*mut dyn Any, _) = Box::into_raw_with_allocator(self);
            Box::from_raw_in(raw as *mut T, alloc)
        }
    }","    pub fn downcast<T: Any>(self) -> Result<Box<T, A>, Self> {
        if self.is::<T>() { unsafe { Ok(self.downcast_unchecked::<T>()) } } else { Err(self) }
    }",必须得是类型T,type,Not recorded.,Not recorded.,333,335,confirmed_pair,"同上, 区别在于send + sync",Variant_Type_Tag,These APIs depend on dynamic type/tag agreement (e.g. downcast-style checks).
rust/library/alloc/src/rc.rs,RC,2201,2206,"    pub unsafe fn downcast_unchecked<T: Any>(self) -> Rc<T, A> {
        unsafe {
            let (ptr, alloc) = Rc::into_inner_with_allocator(self);
            Rc::from_inner_in(ptr.cast(), alloc)
        }
    }","    pub fn downcast<T: Any>(self) -> Result<Rc<T, A>, Self> {
        if (*self).is::<T>() {
            unsafe {
                let (ptr, alloc) = Rc::into_inner_with_allocator(self);
                Ok(Rc::from_inner_in(ptr.cast(), alloc))
            }
        } else {
            Err(self)
        }
    }",用户必须保证类型是T,type,Not recorded.,Not recorded.,2162,2171,confirmed_pair,Not recorded.,Variant_Type_Tag,These APIs depend on dynamic type/tag agreement (e.g. downcast-style checks).
